Date,Price,Oil_Price,USD_Index,Trade_Weighted_Dollar,CPI,Volume,US_Tariff_Index,Sanction_Intensity,Russia_Sanction_Intensity,Price_cap,Oil_lag1,Oil_lag7,Oil_ma7,USD_lag1,USD_lag7,USD_ma7
2022-04-19,1955.699951171875,102.54,117.1322,115.09607160741456,288.582,130.0,114.59678596003222,90.32054794520548,95.0,1955.699951171875,108.24,100.52,106.35714285714286,116.8427,116.387,116.77232142857143
2022-04-20,1952.300048828125,102.56,116.7325,115.98880363967886,288.582,621.0,114.96816349199304,90.34520547945206,95.0,1952.300048828125,102.54,104.26,106.11428571428571,117.1322,116.2793,116.83706428571429
2022-04-21,1944.9000244140625,103.89,117.1454,116.76025486891686,288.582,280321.0,114.63086549774152,90.36986301369862,95.0,1944.9000244140625,102.56,106.84,105.69285714285715,116.7325,116.7552,116.89280714285714
2022-04-22,1931.0,102.86,118.0205,115.59635640233223,288.582,178.0,114.507179349112,90.3945205479452,95.0,1931.0,103.89,107.19,105.07428571428571,117.1454,116.777075,117.07043928571429
2022-04-23,1918.3999837239583,101.77333333333333,118.2236,117.20387908034964,288.582,122.33333333333333,114.6645602470897,90.41917808219178,95.0,1918.3999837239583,102.86,107.54,104.25047619047619,118.0205,116.79895,117.27396071428572
2022-04-24,1905.7999674479167,100.68666666666667,118.4267,118.81140175836704,288.582,66.66666666666667,114.82194114506741,90.44383561643836,95.0,1905.7999674479167,101.77333333333333,107.89,103.22142857142856,118.2236,116.820825,117.50337142857143
2022-04-25,1893.199951171875,99.6,118.6298,120.41892443638444,288.582,11.0,114.97932204304512,90.46849315068494,95.0,1893.199951171875,100.68666666666667,108.24,101.98714285714287,118.4267,116.8427,117.75867142857143
2022-04-26,1901.4000244140625,102.62,118.9658,115.80488531055104,288.582,4.0,114.44709981540456,90.4931506849315,95.0,1901.4000244140625,99.6,102.54,101.99857142857142,118.6298,117.1322,118.02061428571427
2022-04-27,1885.9000244140625,101.96,119.472,116.26668239484448,288.582,278781.0,114.8709329391106,90.51780821917808,95.0,1885.9000244140625,102.62,102.56,101.91285714285713,118.9658,116.7325,118.41197142857142
2022-04-28,1888.699951171875,105.47,120.0703,111.74289733778534,288.582,513.0,113.6836615615337,90.54246575342466,95.0,1888.699951171875,101.96,103.89,102.13857142857144,119.472,117.1454,118.82981428571429
